code,start_date,end_date
sz.003038,2021-12-20,2022-02-08
sh.603068,2024-01-24,2024-03-14
sz.002406,2023-10-18,2023-11-29
sz.001269,2023-04-19,2023-06-05
sh.600250,2024-06-12,2024-07-24
sh.603893,2021-09-28,2021-11-16
sh.603900,2024-01-16,2024-03-06
sz.300405,2024-01-29,2024-03-19
sz.300693,2022-03-22,2022-05-10
sz.300474,2023-04-03,2023-05-19
sz.001218,2024-01-19,2024-03-11
sz.300688,2021-09-17,2021-11-09
sz.300554,2021-01-08,2021-02-26
sz.300260,2024-01-22,2024-03-12
sz.002712,2024-04-02,2024-05-21
sz.002289,2024-01-29,2024-03-19
sz.300055,2024-01-22,2024-03-12
sz.300780,2024-01-29,2024-03-19
sh.603817,2024-01-25,2024-03-15
sz.301316,2023-04-07,2023-05-24
sz.300680,2023-03-03,2023-04-17
sz.000620,2022-09-28,2022-11-16
sz.300618,2021-03-11,2021-04-23
sz.003025,2023-08-31,2023-10-20
sh.603004,2024-01-24,2024-03-14
sh.600546,2022-06-29,2022-08-10
sh.603626,2024-01-17,2024-03-07
sz.300052,2022-04-06,2022-05-23
sz.300677,2024-07-10,2024-08-21
sh.600735,2024-01-29,2024-03-19
sz.000926,2022-04-11,2022-05-26
sh.603800,2022-09-14,2022-11-02
sz.300629,2021-01-25,2021-03-15
sz.002219,2024-01-19,2024-03-11
sh.688523,2023-11-20,2024-01-02
sz.300257,2024-10-08,2024-11-19
sh.603722,2022-04-07,2022-05-24
sh.688573,2024-01-19,2024-03-11
sz.300852,2024-01-24,2024-03-14
sz.002559,2023-10-10,2023-11-21
sz.000615,2023-05-05,2023-06-16
sh.600215,2021-11-26,2022-01-10
sz.300062,2021-03-17,2021-04-29
sh.603001,2024-01-25,2024-03-15
sz.300671,2022-04-21,2022-06-08
sh.603607,2021-01-18,2021-03-08
sz.300408,2021-08-12,2021-09-27
sz.002707,2021-03-18,2021-04-30
sz.000504,2024-01-24,2024-03-14
sh.600658,2021-04-20,2021-06-04
sh.601865,2024-01-25,2024-03-15
sz.300315,2022-01-14,2022-03-04
sh.603628,2024-01-17,2024-03-07
sh.603629,2023-08-22,2023-10-11
sh.688238,2022-07-08,2022-08-19
sz.000521,2024-05-21,2024-07-03
sh.600063,2022-08-18,2022-09-30
sh.688468,2024-01-24,2024-03-14
sz.002862,2021-07-14,2021-08-25
sz.300010,2022-04-08,2022-05-25
sh.603863,2022-04-15,2022-06-02
sz.000518,2024-05-10,2024-06-24
sh.605166,2022-04-12,2022-05-27
sh.603138,2022-02-25,2022-04-12
sz.000049,2021-07-12,2021-08-23
sh.688533,2024-01-16,2024-03-06
sz.300160,2024-01-19,2024-03-11
sz.000833,2024-01-24,2024-03-14
sh.603212,2021-01-25,2021-03-15
sh.600073,2021-01-21,2021-03-11
sz.000908,2024-03-22,2024-05-13
sz.002791,2024-04-03,2024-05-22
sz.300036,2022-03-01,2022-04-14
sz.002849,2024-04-03,2024-05-22
sh.688716,2023-12-29,2024-02-20
sz.002132,2022-07-07,2022-08-18
sz.300782,2021-07-09,2021-08-20
sz.002154,2024-06-21,2024-08-02
sz.301015,2021-07-14,2021-08-25
sz.002759,2021-09-15,2021-11-05
sz.300882,2024-01-23,2024-03-13
sz.001282,2024-03-29,2024-05-17
sz.000503,2022-09-15,2022-11-03
sz.301070,2022-04-13,2022-05-30
sz.300581,2021-01-06,2021-02-24
sz.002366,2022-04-14,2022-06-01
sh.603982,2024-01-29,2024-03-19
sh.603179,2021-02-04,2021-03-25
sz.002232,2023-12-12,2024-01-24
sz.300183,2022-08-18,2022-09-30
sz.002747,2024-01-22,2024-03-12
sz.300835,2021-09-09,2021-11-01
sh.688262,2024-06-19,2024-07-31
sz.300462,2021-04-20,2021-06-04
sz.300419,2023-12-15,2024-01-29
sh.603236,2022-04-11,2022-05-26
sz.000892,2024-01-25,2024-03-15
sz.300912,2024-04-02,2024-05-21
sh.688345,2024-01-23,2024-03-13
sh.600834,2021-06-18,2021-07-30
sz.300472,2022-03-01,2022-04-14
sz.002205,2022-04-12,2022-05-27
sz.300897,2021-04-19,2021-06-03
sz.300757,2024-03-29,2024-05-17
sh.600769,2024-01-05,2024-02-26
sz.002155,2024-07-16,2024-08-27
sz.300467,2021-07-26,2021-09-06
sz.300569,2022-03-28,2022-05-16
sz.300889,2024-01-24,2024-03-14
sh.603919,2021-07-20,2021-08-31
sz.300615,2024-08-14,2024-09-27
sz.002033,2021-04-19,2021-06-03
sz.300340,2024-09-04,2024-10-25
sh.688595,2022-08-19,2022-10-10
sz.003032,2022-04-19,2022-06-06
sz.301186,2022-01-21,2022-03-11
sh.605016,2022-01-12,2022-03-02
sz.300322,2024-01-16,2024-03-06
sh.603982,2022-09-19,2022-11-07
sz.002306,2024-04-11,2024-05-28
sz.300932,2024-01-25,2024-03-15
sz.300886,2024-01-09,2024-02-28
sh.600847,2024-05-21,2024-07-03
sh.603843,2024-04-02,2024-05-21
sh.603809,2024-01-24,2024-03-14
sz.000063,2022-02-23,2022-04-08
sh.603299,2021-09-14,2021-11-04
sh.603321,2021-01-06,2021-02-24
sz.300702,2021-11-22,2022-01-04
sh.603650,2022-08-16,2022-09-28
sh.603822,2021-11-25,2022-01-07
sz.001896,2021-01-12,2021-03-02
sh.688598,2021-03-01,2021-04-13
sz.002935,2022-03-22,2022-05-10
